rental_id,duration,start_date,start_station_name,end_station_name,starting_latitude,starting_longitude,docks_count,ending_latitude,ending_longitude
123354673,1080,2022-07-29 18:20:00.000000 UTC,"Hereford Road, Bayswater","Collingham Gardens, Earl's Court",51.513735,-0.193487,22,51.4916156,-0.186753859
112356389,1140,2021-09-10 18:20:00.000000 UTC,"High Holborn , Covent Garden","Dunston Road , Haggerston",51.516226,-0.124826,20,51.53658514,-0.075885686
106534623,780,2021-04-01 17:09:00.000000 UTC,"Here East North, Queen Elizabeth Olympic Park","Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.5487311915,-0.0226065549321,28,51.549369,-0.015717614
127362582,376,2022-12-07 18:07:00.000000 UTC,"Fisherman's Walk West, Canary Wharf","Salmon Lane, Limehouse",51.50623,-0.02296,36,51.514115,-0.033828
106099684,300,2021-03-18 18:25:00.000000 UTC,"Hewison Street, Old Ford","Merchant Street, Bow",51.533283,-0.028155,19,51.526578,-0.027581
123651333,840,2022-08-05 18:33:00.000000 UTC,"St. James's Square, St. James's","New Cavendish Street, Marylebone",51.50742485,-0.134621209,40,51.519167,-0.147983
115791828,360,2021-12-21 18:49:00.000000 UTC,"Vicarage Crescent, Battersea","Ethelburga Estate, Battersea Park",51.47287627,-0.176267008,30,51.47729232,-0.16478637
127838171,401,2023-01-10 17:46:00.000000 UTC,"Aldersgate Street, Barbican","Torrens Street, Angel",51.5208417,-0.097340162,15,51.53219984,-0.105480698
115417848,900,2021-12-06 18:25:00.000000 UTC,"Finsbury Circus, Liverpool Street","Waterloo Station 1, Waterloo",51.51707521,-0.086685542,33,51.50402794,-0.11386436
113972330,600,2021-10-22 17:07:00.000000 UTC,"Stainsby Road , Poplar","Naval Row, Blackwall",51.51542791,-0.02356501,24,51.508981,-0.00699
123863699,840,2022-08-10 17:42:00.000000 UTC,"Finsbury Leisure Centre, St. Luke's","Houndsditch, Aldgate",51.52600832,-0.096317627,20,51.514449,-0.077178979
121413069,1380,2022-06-15 18:30:00.000000 UTC,"Finsbury Circus, Liverpool Street","Archbishop's Park, Waterloo",51.51707521,-0.086685542,33,51.49824168,-0.117495865
105135619,240,2021-01-26 17:13:00.000000 UTC,"Fore Street, Guildhall","Golden Lane, Barbican",51.518093,-0.0914017,25,51.52174785,-0.094475072
111521784,1380,2021-08-20 17:27:00.000000 UTC,"Lots Road, West Chelsea","Sidney Road, Stockwell",51.4795738,-0.17903854,24,51.469202,-0.11902256
113644200,300,2021-10-13 17:10:00.000000 UTC,"Goswell Road (City Uni), Finsbury","Roscoe Street, St. Luke's",51.528246,-0.10102611,17,51.52295439,-0.094934859
